('kaistattani', 'kaista+N+Sg+Abe+PxSg1', 'kaista, singular, abessive, first person singular')
('kaistoittani', 'kaista+N+Pl+Abe+PxSg1', 'kaista, plural, abessive, first person singular')
('kaistattasi', 'kaista+N+Sg+Abe+PxSg2', 'kaista, singular, abessive, second person singular')
('kaistoittasi', 'kaista+N+Pl+Abe+PxSg2', 'kaista, plural, abessive, second person singular')
('kaistattaan', 'kaista+N+Sg+Abe+PxSg3', 'kaista, singular, abessive, third person singular')
('kaistattansa', 'kaista+N+Sg+Abe+PxSg3', 'kaista, singular, abessive, third person singular')
('kaistoittaan', 'kaista+N+Pl+Abe+PxSg3', 'kaista, plural, abessive, third person singular')
('kaistoittansa', 'kaista+N+Pl+Abe+PxSg3', 'kaista, plural, abessive, third person singular')
('kaistattamme', 'kaista+N+Sg+Abe+PxPl1', 'kaista, singular, abessive, first person plural')
('kaistoittamme', 'kaista+N+Pl+Abe+PxPl1', 'kaista, plural, abessive, first person plural')
('kaistattanne', 'kaista+N+Sg+Abe+PxPl2', 'kaista, singular, abessive, second person plural')
('kaistoittanne', 'kaista+N+Pl+Abe+PxPl2', 'kaista, plural, abessive, second person plural')
('kaistattaan', 'kaista+N+Sg+Abe+PxPl3', 'kaista, singular, abessive, third person plural')
('kaistattansa', 'kaista+N+Sg+Abe+PxPl3', 'kaista, singular, abessive, third person plural')
('kaistoittaan', 'kaista+N+Pl+Abe+PxPl3', 'kaista, plural, abessive, third person plural')
('kaistoittansa', 'kaista+N+Pl+Abe+PxPl3', 'kaista, plural, abessive, third person plural')
('kaistallani', 'kaista+N+Sg+Ade+PxSg1', 'kaista, singular, adessive, first person singular')
('kaistoillani', 'kaista+N+Pl+Ade+PxSg1', 'kaista, plural, adessive, first person singular')
('kaistallasi', 'kaista+N+Sg+Ade+PxSg2', 'kaista, singular, adessive, second person singular')
('kaistoillasi', 'kaista+N+Pl+Ade+PxSg2', 'kaista, plural, adessive, second person singular')
('kaistallaan', 'kaista+N+Sg+Ade+PxSg3', 'kaista, singular, adessive, third person singular')
('kaistallansa', 'kaista+N+Sg+Ade+PxSg3', 'kaista, singular, adessive, third person singular')
('kaistoillaan', 'kaista+N+Pl+Ade+PxSg3', 'kaista, plural, adessive, third person singular')
('kaistoillansa', 'kaista+N+Pl+Ade+PxSg3', 'kaista, plural, adessive, third person singular')
('kaistallamme', 'kaista+N+Sg+Ade+PxPl1', 'kaista, singular, adessive, first person plural')
('kaistoillamme', 'kaista+N+Pl+Ade+PxPl1', 'kaista, plural, adessive, first person plural')
('kaistallanne', 'kaista+N+Sg+Ade+PxPl2', 'kaista, singular, adessive, second person plural')
('kaistoillanne', 'kaista+N+Pl+Ade+PxPl2', 'kaista, plural, adessive, second person plural')
('kaistallaan', 'kaista+N+Sg+Ade+PxPl3', 'kaista, singular, adessive, third person plural')
('kaistallansa', 'kaista+N+Sg+Ade+PxPl3', 'kaista, singular, adessive, third person plural')
('kaistoillaan', 'kaista+N+Pl+Ade+PxPl3', 'kaista, plural, adessive, third person plural')
('kaistoillansa', 'kaista+N+Pl+Ade+PxPl3', 'kaista, plural, adessive, third person plural')
('kaistalleni', 'kaista+N+Sg+All+PxSg1', 'kaista, singular, allative, first person singular')
('kaistoilleni', 'kaista+N+Pl+All+PxSg1', 'kaista, plural, allative, first person singular')
