ABE     abessiivi       vajanto         abessive        talotta
ABL     ablatiivi       ulkoeronto      ablative        talolta
ADE     adessiivi       ulko-olento     adessive        talolla
ALL     allatiivi       ulkotulento     allative        talolle
ELA     elatiivi        sisäeronto      elative         talosta
ESS     essiivi         olento          essive          talona
GEN     genetiivi       omanto          genitive        talon
ILL     illatiivi       sisätulento     illative        taloon
INE     inessiivi       sisäolento      inessive        talossa
INS     instruktiivi    keinonto        instructive     taloin
COM     komitatiivi     seuranto        comitative      taloineen
NOM     nominatiivi     nimentö         nominative      talo
PAR     partitiivi      osanto          partitive       taloa
TRA     translatiivi    tulento         translative     taloksi
