Jäsennä taivutetut substantiivit tällä tavalla:
taivutusmuoto -- perusmuoto, luku, sijamuoto, omistusliite

vedessämme -- vesi, ----> yksikkö, inessiivi, monikon ensimmäinen persoona

rehtiyksiesi -- rehtiys, monikko, genetiivi, yksikön toinen persoona
peukaloistanne -- peukalo, yksikkö, elatiivi, monikon toinen persoona
koivuumme -- koivu, yksikkö, illatiivi, monikon ensimmäinen persoona
sängiltään -- sänki, monikko, ablatiivi, yksikön kolmas persoona
huurteenani -- huurre, yksikkö, essiivi, yksikön ensimmäinen persoona
kaistojaan -- kaista, monikko, partitiivi, monikon kolmas persoona
kinoksiksensa -- kinos, monikko, translatiivi, yksikön kolmas persoona
laaksoillani -- laakso, monikko, adessiivi, yksikön ensimmäinen persoona
talollenne -- talo, yksikkö, allatiivi, monikon toinen persoona
